"ID","Country","Categoria","Settore","Prodotto eng","Prodotto","Confezione","Prezzo","Photo",,"Esclusivo","Obsoleto","IDDestinatario","COGE","Note","QuantDef"
"CBP096","Italy","Carta, buste","Buste a sacco avana","Buste avana 23x33 senza logo (500 pezzi)","Buste avana 23x33 senza logo",500,"21.42","buste-avana_piu-misure.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP097","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 senza soffietto senza logo (500 pezzi)","Buste avana 25x35 senza soffietto senza logo",500,"25.12","buste-avana_piu-misure.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP098","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 con soffietto senza logo (500 pezzi)","Buste avana 25x35 con soffietto senza logo",500,"25.00","buste-avana_25x35-con-soffietto.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP099","Italy","Carta, buste","Buste a sacco avana","Buste avana 19x26 con logo SOL","Buste avana 19x26 con logo SOL",1000,"130.00","buste-avana_25x35-con-soffietto_sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP100","Italy","Carta, buste","Buste a sacco avana","Buste avana 23x33 con logo SOL (500 pezzi)","Buste avana 23x33 con logo SOL",500,"130.00","buste-avana_25x35-con-soffietto_sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP101","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 senza soffietto con logo SOL","Buste avana 25x35 senza soffietto con logo SOL",1000,"150.00","buste-avana_piu-misure_sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP102","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 con soffietto con logo SOL (500 pezzi)","Buste avana 25x35 con soffietto con logo SOL",1000,"150.00","buste-avana_piu-misure_sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP103","Italy","Carta, buste","Buste a sacco avana","Buste avana 19x26 con logo VIVISOL (500 pezzi)","Buste avana 19x26 con logo VIVISOL",1000,"120.00","buste-avana_25x35-con-soffietto_vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP104","Italy","Carta, buste","Buste a sacco avana","Buste avana 23x33 con logo VIVISOL (500 pezzi)","Buste avana 23x33 con logo VIVISOL",500,"130.00","buste-avana_25x35-con-soffietto_vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP105","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 senza soffietto con logo VIVISOL (500 pezzi)","Buste avana 25x35 senza soffietto con logo VIVISOL",500,"150.00","buste-avana_piu-misure_vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP106","Italy","Carta, buste","Buste a sacco avana","Buste avana 25x35 con soffietto con logo VIVISOL (500 pezzi)","Buste avana 25x35 con soffietto con logo VIVISOL",1000,"150.00","buste-avana_piu-misure_vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP107","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 senza logo senza finestra (500 pezzi)","Buste bianche 11x23 senza logo senza finestra",500,"7.79","buste-senza-finestra.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP108","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 senza logo con finestra (500 pezzi)","Buste bianche 11x23 senza logo con finestra",500,"7.79","buste-con-finestra.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP109","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo SOL senza finestra","Buste bianche 11x23 con logo SOL senza finestra",1000,"70.00","buste-senza-finestra_sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP110","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo VIVISOL senza finestra","Buste bianche 11x23 con logo VIVISOL senza finestra",1000,"70.00","buste-senza-finestra_vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP111","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo SOL con finestra","Buste bianche 11x23 con logo SOL con finestra",1000,"70.00","buste-con-finestra_sol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP112","Italy","Carta, buste","Buste commerciali","Buste bianche 11x23 con logo VIVISOL con finestra (500 pezzi)","Buste bianche 11x23 con logo VIVISOL con finestra",1000,"70.00","buste-con-finestra_vivisol.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP114","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo B 12x21","Busta imbottita tipo B 12x21",10,"1.10","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP115","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo C 14x21","Busta imbottita tipo C 14x21",10,"1.30","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP116","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo D 18x26","Busta imbottita tipo D 18x26",10,"1.50","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP117","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo E 22x26","Busta imbottita tipo E 22x26",10,"1.90","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP118","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo H 27x36","Busta imbottita tipo H 27x36",10,"2.10","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP119","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo J 30x44","Busta imbottita tipo J 30x44",10,"2.40","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP120","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo K 35x48","Busta imbottita tipo K 35x48",10,"3.80","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP121","Italy","Carta, buste","Buste imbottite","Busta imbottita tipo F/G 23x33","Busta imbottita tipo F/G 23x33",10,"1.40","Busta-imbottita_vari-modelli.jpg",,FALSO,FALSO,"SMR","N010",,
"CBP126","Italy","Carta, buste","Blocchi, risme carta","Etichette adesive 70X32 27 etichette per foglio","Etichette adesive 70X32 27 etichette per foglio",1,"9.53","Etichette-adesive.jpg",,FALSO,VERO,"SMR","N010",,
